Iteration,RMS_px,Parameters
0,18.714643968717624,"[  2.62369797  -1.48320812  -0.30194814 ...  36.7967058   48.28638682
 -42.39030625]"
1,12.268761420746182,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055450949 -47.71415343    36.7967057997  48.286386825
 -42.3903062518]"
2,10.723470020276853,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055451015 -47.7141534756  36.796705809   48.2863868387
 -42.3903062747]"
3,10.058230285395158,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055450953 -47.7141535172  36.7967058209  48.2863868535
 -42.3903062882]"
4,9.879962625712698,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055450829 -47.7141535343  36.7967058278  48.2863868649
 -42.3903062766]"
5,9.697656857278274,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905545054  -47.7141535621  36.7967058381  48.2863868891
 -42.3903062426]"
6,9.393603936190434,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055449785 -47.7141536369  36.7967058561  48.2863869618
 -42.390306136 ]"
7,9.265493822920927,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055448864 -47.7141537465  36.7967058453  48.2863870745
 -42.3903059727]"
8,9.152876521022476,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055448648 -47.7141537744  36.7967058358  48.2863870923
 -42.3903059381]"
9,9.132551063370776,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055448566 -47.7141537866  36.7967058255  48.2863870928
 -42.3903059289]"
10,9.101009194721946,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055448011 -47.7141538517  36.7967057962  48.286387111
 -42.390305869 ]"
11,9.062116492877623,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055446215 -47.7141540504  36.796705715   48.2863871567
 -42.3903056932]"
12,9.04744834164825,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055444301 -47.7141542597  36.7967056209  48.2863871898
 -42.3903055154]"
13,9.032152327586486,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055444298 -47.7141542582  36.7967056188  48.2863871826
 -42.3903055209]"
14,9.0227571245897,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055443625 -47.7141543305  36.7967055765  48.2863871773
 -42.3903054699]"
15,9.00768757770196,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055441587 -47.7141545531  36.7967054442  48.2863871638
 -42.3903053115]"
16,8.999135855880203,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055437518 -47.714155001   36.7967051664  48.2863871222
 -42.3903050022]"
17,8.985509604283171,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905543611  -47.7141551574  36.7967050679  48.286387106
 -42.3903048957]"
18,8.981385743457375,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055435384 -47.7141552395  36.7967050106  48.2863870888
 -42.3903048455]"
19,8.976377472606684,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055433644 -47.7141554343  36.7967048734  48.2863870429
 -42.3903047296]"
20,8.969112373497808,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055429505 -47.7141558961  36.7967045456  48.2863869248
 -42.3903044603]"
21,8.959363426499692,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055425017 -47.7141563958  36.796704187   48.2863867861
 -42.3903041755]"
22,8.948347700508627,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905541935  -47.714157026   36.7967037306  48.2863865985
 -42.3903038238]"
23,8.941751750402062,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055414005 -47.7141576253  36.7967032887  48.2863864019
 -42.3903035009]"
24,8.936053052380826,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055410283 -47.714158047   36.7967029747  48.2863862564
 -42.3903032787]"
25,8.931407446031143,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055408507 -47.7141582543  36.7967028182  48.2863861798
 -42.3903031737]"
26,8.917646917511675,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055398585 -47.7141594078  36.796701963   48.2863857844
 -42.3903025708]"
27,8.911274330140227,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055387548 -47.7141606832  36.7967010292  48.28638536
 -42.3903018933]"
28,8.904640685784187,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055382436 -47.714161276   36.7967005983  48.2863851697
 -42.3903015746]"
29,8.89903701458209,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055375735 -47.714162056   36.7967000367  48.2863849234
 -42.390301153 ]"
30,8.895710700492721,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055370875 -47.7141626291  36.7966996251  48.2863847369
 -42.3903008472]"
31,8.890185753769174,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055360555 -47.7141638531  36.796698748   48.286384339
 -42.3903001945]"
32,8.885812285530086,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055347941 -47.7141653724  36.7966976626  48.2863838438
 -42.3902993898]"
33,8.879632369503241,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055343069 -47.7141659642  36.7966972405  48.2863836483
 -42.3902990786]"
